ID,URL,Cleaned_Content,Crawled_At
scrp_309a9568cbf2b1d11eb9592d784ad930,https://esx.et/equity-market/listing/,"financial advisor and in compliance with ECMA rules and procedures, you may approach the primary market via book building process, which helps you to determine the market value of your shares, or fixed price. You may sell, both, some of your share ownership in the company while at the same time issuing new shares to shareholders. As a modern and fully electronic marketplace, ESX creates an environment whereby Ethiopians across the country, Ethiopian Diaspora as well as foreign investors, can easily",2026-07-16
scrp_fca410593e0f2ef3b95ef6ab78ba5510,https://esx.et/equity-market/listing/,invest. Listed companies will participate in investor engagement workshops organized by ESX alongside leading local and international investors and other players. Market Segments ESX Equities Market has two distinct market segments: Main Market and SME/Growth Market. Both markets provide businesses the platform to list and trade securities in an efficient and reliable manner. ESX’s Main market serves as a platform for large and mature issuers that are capable of meeting ESX’s listing requirements.,2026-07-16
scrp_241928a7544feaf66ad0b6d87bbf6bef,https://esx.et/equity-market/listing/,"The market is reserved for outstanding companies with a high level of assurance in liquidity, size, and transparency. The main market is designed as a platform to showcase the investment quality to investors and place the issuer among the best companies in its industry. The primary candidates for the main market include large financial institutions such as banks, insurance and microfinance companies, other large private companies that may be established as family-owned PLCs or share companies that",2026-07-16
scrp_31404b2b2deadf94bbd4e351ee3841ba,https://esx.et/equity-market/listing/,"would like to grow their business. The main market is also a platform for listing of some of the largest state-owned enterprises, which in line with the Government of Ethiopia’s strategic direction, will be listed on ESX. ESX Growth market is a regulated segment for small and medium sized companies SMEs) with high levels of growth and appetite to raise substantial capital. Listing on ESX Growth Market provides issuers with access to a wide range of capital to accelerate their growth and development",2026-07-16
scrp_fe05d344fd2a9f2ab3dfe858bd7bc69b,https://esx.et/equity-market/listing/,"to serve as a springboard into ESX’s Main Market. ESX growth market offers companies a regulatory environment designed specifically to meet the needs of Ethiopian SMEs. The segment offers lighter listing requirements (in particular, total capitalization, free float and reporting obligations) that’s adapted to high growth, high potential equity issuers. Growth companies will also enjoy the full complement of support provided by ESX and designated advisors, reduced fee structure, relaxed entry",2026-07-16
scrp_84f215fead90d43eaf266071c89c421c,https://esx.et/equity-market/listing/,"criteria, reduced post-listing obligations and increased turnaround time for approvals and time to market. How to become a listed company To be listed on the ESX equity market, issuers will be required to comply with pre-set listing rules and be subject to continuous obligations that include the following: Be a share company with securities registered by the ECMA. The issuer’s minimum capital. Minimum number of years in operation. Proven profitability over identified number of years of operation",2026-07-16
scrp_949d064b9a7e909fd5c59524b27e0669,https://esx.et/equity-market/listing/,The minimum size of capital the issuer must issue/float to the public on the first day of listing. The minimum number of shareholders Shares must be fully paid and free from any liens or restrictions on transfer. An Issuer seeking to list its equity shares on the ESX Main Market Segment shall have: An operating track record of at least three (3) years. Where the Issuer does not have three (3) years’ operating track record the Issuer shall provide evidence of a core investor who has at least three,2026-07-16
scrp_4d9fbe3f17847013ae106e332b668b69,https://esx.et/equity-market/listing/,"(3) years’ operating track record with substantial equity and involvement in management of the Issuer. Total market capitalization of at least Five Hundred Million Birr [ETB 500,000,000] upon listing. Declared profits after tax attributable to shareholders at least once in the last three (3) financial years immediately preceding the date of application. The financial statements shall be prepared in accordance with International Financial Reporting Standards (IFRS) or applicable accounting standards",2026-07-16
scrp_827f36d5de1b7205f2ac33f347f1425c,https://esx.et/equity-market/listing/,in Ethiopia and shall be compliant with other applicable Directives issued by ECMA. An Issuer shall have a minimum free float of fifteen percent (15%) of the total number of shares for which listing is sought in the hands of at least three hundred (300) public security holders. An issuer shall submit all the applicable documents as prescribed by the Exchange from time to time. An Issuer seeking to list its equity shares on ESX Growth Market Segment shall have: An operating track record of at least,2026-07-16
scrp_14dd188a655e99798fcb1de6b65e1365,https://esx.et/equity-market/listing/,"two (2) years. Where the Issuer does not have two (2) years’ operating track record, it shall provide evidence of a core investor who has at least two (2) years’ operating track record with substantial equity and involvement in management of the Issuer. Total market capitalization of at least Fifty Million Birr [ETB 50,000,000] post listing. The financial statements shall be prepared in accordance with International Financial Reporting Standards (IFRS) or applicable accounting standards in Ethiopia",2026-07-16
scrp_a9861a3fd7c5d1051b073ac2614d55b1,https://esx.et/equity-market/listing/,and shall be compliant with other applicable Directives of the ECMA. An Issuer shall have a minimum of fifteen percent (10%) of the total number of shares for which listing is sought in the hands of a minimum number of Fifty hundred (50) public security holders. An Issuer shall submit all the applicable documents as prescribed by The Exchange from time to time. Listing forms Listing on ESX may take the following main forms: An IPO is the process through which a private company offers its shares,2026-07-16
scrp_d0a3f555d1504e80a2965d1dc0f57fbd,https://esx.et/equity-market/listing/,"of ownership to the public for the first time with the objective of raising capital and creating liquidity for investors. During an IPO process it is essential that the company transition from private to public ownership. May take the form of offer for sale or offer for subscription. Typical steps involved in an IPO include: 1. Preparation: Hire Professionals: The company assembles a team of professionals, including investment bankers, lawyers, and auditors, to guide them through the IPO process.",2026-07-16
scrp_d4ed6f7115d0f3b011f66ef276f6a033,https://esx.et/equity-market/listing/,"Financial Due Diligence: The company’s financials are thoroughly reviewed and audited to ensure accuracy and compliance with financial reporting standards. Regulatory Compliance: The company must comply with regulatory requirements set out under the Capital Market Proclamation Directives issued by ECMA. Discussion with ESX: Once the company decides to list on ESX, it shall have a preliminary conversation with the ESX listing team to discuss requirements, timelines, and next steps. Application",2026-07-16
scrp_bb4d688bbb1bf565f79923de9680866f,https://esx.et/equity-market/listing/,"with ECMA: The company prepares and files a prospectus for review and approval by ECMA. Roadshow: The company conducts a roadshow to market itself to potential investors. Company executives and underwriters meet with institutional investors to generate interest in the IPO. Pricing: Based on feedback from the roadshow, the company, with the help of underwriters, determines the IPO price and the number of shares to be issued. This is a critical step as it directly affects the capital raised. Clearance",2026-07-16
scrp_ae6a419a25d2f8cde9bca71cf823cc5e,https://esx.et/equity-market/listing/,"by ECMA: Once ECMA is satisfied with the registration statement, it will register the securities, making the offer effective. Listing approval by ESX: After completion of all relevant documents, a formal application for listing shall be made by the listed company, after which approval for listing shall be given. IPO Date: On the scheduled IPO date, the company’s shares start trading on the ESX, and they become available for purchase by the public. Post-IPO Reporting and Compliance: The company",2026-07-16
scrp_f4c172d306a14ef989fa49db963339a6,https://esx.et/equity-market/listing/,"must continue to meet ongoing reporting and compliance requirements, including regular financial reporting and disclosures. It’s important to note that the IPO process can vary in complexity and duration, depending on the specific circumstances of the company. For companies that do not aim to raise new capital but would like to create liquidity for their investors, listing by introduction is the most streamlined avenue. Listening by introduction gives existing public share companies with shares",2026-07-16
scrp_b433131ae5df552e35488c8a1c9040b5,https://esx.et/equity-market/listing/,in circulation an opportunity to introduce their securities to ESX’s efficient and reliable secondary market infrastructures. Here’s an overview of the process: Preparation: Hiring Advisors: The company typically hires legal and financial advisors to guide them through the process. These advisors help ensure compliance with regulatory requirements and market rules. Financial Disclosures: The company prepares financial statements and disclosures that are compliant with ECMA’s and ESX’s requirements.,2026-07-16
scrp_a0ffb43d2bfe0a8cd782e8593beff088,https://esx.et/equity-market/listing/,"Compliance with Exchange Rules: The company must meet ESX listing requirements, which include minimum capitalization, public float, and financial performance standards. Discussion with ESX: The company and its advisors discuss the requirements, process, and next steps for listing with ESX listing department. ECMA Registration: The company prepares and files registration documents for review and approval by ECMA. Listing approval by ESX: After completion of all relevant documents, a formal application",2026-07-16
scrp_8846988824c9c568469a00e058d583c9,https://esx.et/equity-market/listing/,"for listing shall be made by the listed company, after which approval for listing shall be given. Listing and trading: On the scheduled listing date, the company’s existing shares become available for trading on the stock exchange. Price Determination: Unlike a traditional IPO, where the price is determined through a book building process, in a direct listing, the initial stock price is not set by underwriters or the company. Instead, it is determined by market forces through an opening auction",2026-07-16
scrp_2f29b44197a8eb388907f9a23d92e2f3,https://esx.et/equity-market/listing/,"on the first day of trading. Post-Listing Reporting and Compliance: After the direct listing, the company must meet ongoing reporting and compliance requirements, including regular financial reporting, disclosures, and adherence to other ESX rules. ESX provides you with access to a large pool of long-term capital that is critical to finance your growth ambitions. Read The Listing Guide",2026-07-16
scrp_5c342e884c3b7a6639566ba81cfca03c,https://esx.et/,"The Grand Launch FDRE Prime Minster H.E Dr. Abiy Ahmed ringing the bell at the Grand Launch of Ethiopian Securities Exchange. INVEST ON ESX LISTED SECURITIES Save, invest & earn returns. ESX is coming into place with a modern and convenient investment platform. Learn more LIST ON ESX Are you seeking raising equity or debt capital? Our listing team is ready to walk you through the process. Learn more View Document ESX Market Prices Google Play App Store ESX provides a modern and regulated platform",2026-07-16
scrp_3ba6177e3d3d16be45fe55a3ea0c8f2e,https://esx.et/,"for companies to raise long term finance by issuing equity and debt instruments Read More ESX creates an environment where by Ethiopians all across the world can easily invest in listed equity and debt instruments Read More ESX provides various types of membership opportunities for capital market service providers Read More Ethiopian Securities Exchange Admits Prime Capital S.C. as a New Trading Member July 2, 2026 Ethiopian Securities Exchange Admits Prime Capital S.C. as a New Trading Member ADDIS",2026-07-16
scrp_3546444c3b7e4acabe7cce735b76878f,https://esx.et/,"ABABA, Ethiopia – July 2, 2026 – The Ethiopian Securities Exchange (ESX) officially welcomed Prime Capital S.C. as a Trading Member during a certification ceremony held on the Exchange Trading Floor, marking another important step in the continued expansion of Ethiopia’s capital market infrastructure. The ceremony formally recognized Prime Capital S.C.’s admission to the Exchange following its Read More » Ethiopian Securities Exchange Admits Prime Capital S.C. as a New Trading Member July",2026-07-16
scrp_a7562212fe2b99ae925547f22470449a,https://esx.et/,"2, 2026 ESX, in collaboration with IFC Hosted Workshop to Explore Electronic Receivables Discounting in Ethiopia June 26, 2026 Ethiopian Securities Exchange Announces the Official Listing of Abay Bank S.C. on the ESX Main Market June 25, 2026 ESX hosted a stakeholder validation workshop on Real Estate Investment Trusts and Funds (REITs/Fs) June 9, 2026 All News and Insights LEARN MORE Subscribe",2026-07-16
scrp_f7196364f25ec42e64b5bae859575afa,https://esx.et/equity-market/invest/,"Whether you are an individual or institution (corporates, funds etc.) investment is one of the critical factors to secure and grow the value of your assets in the medium and long term. As savings held in cash will tend to lose value in the long run, investing can help to protect the value of your assets. Investing is also an effective way to have your cash work for you and gradually build wealth. Investment provides individuals and corporations the opportunity to contribute, share risks and rewards",2026-07-16
scrp_c3cba5daa625c2d7c6a9989c736c7e20,https://esx.et/equity-market/invest/,from the growth of the investment without the need to be involved in the day-to-day management and operation of the business. Investment is also a key tool to diversify your portfolios as it allows you to invest in various asset classes according to your preferred risk tolerance. Investment encourages you to save and provides you with the opportunity to get higher returns on your savings. Investing in listed companies will also allow you to own various public assets that have national socio-economic,2026-07-16
scrp_2ab2d4bc188968db6672dd0f2df5fcdc,https://esx.et/equity-market/invest/,"significance. A key benefit to investing on ESX is transparency. As information on securities and prices are publicly available, investors can make informed decisions based on appropriate disclosures and real-time market data. The regulatory oversight of ESX maintains market integrity. This ensures that participants are adhering to trading practices. The ESX trading platform will be linked to a fully electronic central security. Investing in listed shares, also known as investing in the ‘stock",2026-07-16
scrp_761361edc82ff4ed581e714d5be8d7c2,https://esx.et/equity-market/invest/,"market’, offers a range of potential benefits. Here are some of the key benefits of investing in listed shares: Potential for Capital Appreciation: Over the long term, stocks have historically provided the potential for significant capital appreciation. This means your initial investment can grow in value, potentially outpacing inflation. Dividend Income: Many listed companies pay dividends to their shareholders. These dividends can provide a steady stream of income, making stocks attractive to",2026-07-16
scrp_d5de295a63bb6a83c48e5b2d05e1b1ae,https://esx.et/equity-market/invest/,"income-seeking investors. Portfolio Diversification: Investing in a variety of stocks allows you to diversify your portfolio. Diversification can help spread risk, as different stocks may react differently to economic and market conditions. Liquidity: Listed shares are generally highly liquid, meaning you can easily buy and sell them on ESX compared to other private companies. This liquidity allows you to convert your investments into cash relatively quickly. Ownership in Established Companies including",2026-07-16
scrp_2717ff7d7a371a82fcf5492c60655027,https://esx.et/equity-market/invest/,"Large Public Enterprises: When you invest in listed shares, you become a partial owner of the company. This can give you a sense of ownership and participation in well-established businesses. Transparency and Information: Publicly traded companies are required to provide regular financial reports and disclosures to the public. This transparency gives investors access to detailed information about a company’s operations and financial health. Regulation and Investor Protection: ESX markets are regulated",2026-07-16
scrp_6fd5e78aec2e1b94c4dec3814d1194d7,https://esx.et/equity-market/invest/,"to protect investors and ensure fair trading practices. These regulations provide a level of security for investors. Investment Choice: The ESX offers a wide range of investment choices. You can invest in individual stocks, exchange-traded funds (ETFs), or mutual funds, each with its own risk-return profile. It’s important to note that while there are several benefits to investing in listed shares, there are also risks involved. Stock prices can be highly volatile, and there are no guarantees",2026-07-16
scrp_728694b2ae9848d99edf71477070f127,https://esx.et/equity-market/invest/,"of returns. The value of investments can go up and down, and as an investor, you may potentially lose money. Therefore, it’s essential to consult professional advisors, conduct thorough research, have a well-defined investment strategy, and consider your risk tolerance before investing. Diversifying your investments across different asset classes can also help manage risk. Central Securities Depository (CSD) The Central Securities Depository acts as the central place where securities traded on",2026-07-16
scrp_aef6560b1264bfde932590e2e30ac454,https://esx.et/equity-market/invest/,"ESX are deposited in an electronic registrar. The CSD provides safe custody for securities, assigns a unique securities identification number to investors, and allows efficient clearing and settlement of securities transactions. How do investors access the market ? ESX is a fully electronic and intermediated market. To access the markets investors should have a CSD account and select a licensed member of the exchange/brokerage firm (ESX Trading Member) to transact on the platform. Investors can",2026-07-16
scrp_44fc2455a0b6b89cb7d6c9b32bca2dd6,https://esx.et/equity-market/invest/,"choose and appoint a licensed member/broker from members directory of ESX website The licensed member will support the investor in acquiring the relevant CSD account number. Investors will be required by the licensed member to provide relevant KYC information and forms. After adding necessary funds to its investor account, in line with guidance provided by the member, the investor can start trading by placing orders to buy or sell securities through the licensed member of ESX. An investor can monitor",2026-07-16
scrp_d1907fb6a76e7daea9007499e36a92a5,https://esx.et/equity-market/invest/,"market prices through information platforms provided by the exchange on its website, mobile application, trading tools, and other information gateways provided to the member. Investors may be able to have an intermediated direct market access through the licensed member’s website and mobile application, in line with the rules and procedures of the exchange. Your gateway to investing in Ethiopia’s emerging and dynamic capital market Read The Investor Guide",2026-07-16
scrp_38e6667bd7a1564088b4c5d863d2aa34,https://esx.et/equity-market/trading-operations/,Trading Market Structure Trading on the ESX shall be only on approved securities on ESX’s trading platform unless the Exchange grants an express exemption in line with its trading rules. All trading activity on ESX listed securities occurs via ESX’s Automated Trading System (ATS). ESX adopts a hybrid market that provides both a central limit order book as well as platforms for bilateral and multilateral negotiated trading in the form of Requests for Quotes (RFQs). ESX’s central limit order,2026-07-16
scrp_9555e64ee633bdb99744b628cb6749ff,https://esx.et/equity-market/trading-operations/,"book allows trading members and their clients to enter buy and sell orders anonymously where customer trades are executed using ESX’s modern trading engine based on a transparent price-time priority mechanism of trade matching. The ATS seamlessly integrates with the CSD that ensures efficient clearing and settlement. Market Opening: Trading on ESX begins with an opening auction. During this phase, buy and sell orders are matched, and the opening price for each security is determined. Order Placement:",2026-07-16
scrp_ebae0f7ef700821171b915b0a2aacfb5,https://esx.et/equity-market/trading-operations/,"Investors places buy and sell orders with their brokerage firms or directly via direct market access facilities. Among others, orders can be market orders (executed at the prevailing market price) or limit orders (executed only at a specified price or better). Order Matching: ESX uses electronic trading systems to match buy and sell orders. Orders are executed based on a price-time priority, meaning the first order at a specific price gets priority. Continuous Trading: Once the market opens, continuous",2026-07-16
scrp_134b7aceea9c3155af54d6643b8a40fb,https://esx.et/equity-market/trading-operations/,"trading takes place, with buy and sell orders executed throughout the trading day. Prices fluctuate based on supply and demand. Market Surveillance: ESX utilizes various surveillance mechanisms to monitor trading activity and detect unusual or suspicious behavior. This helps maintain market integrity and prevent market manipulation Trading Halts: Trading may be halted under certain conditions, such as extreme volatility, technical issues, or significant news events. Halts are designed to maintain",2026-07-16
scrp_7468d47327cf434f7a0dbdf94aca5b13,https://esx.et/equity-market/trading-operations/,"order and stability in the market Clearing and Settlement: After trades are executed, the Central Securities Depository, ensures that trades are settled by transferring securities and funds between buyers and sellers. Post-Trade Reporting: The exchange reports executed trades and trade data to participants and the public. This data includes the trade price, volume, and other relevant details. The ESX shall open for trading on all business days in Ethiopia. Trading shall be conducted at specified",2026-07-16
scrp_7b3d8edb31ebb282f57c8feb4fd80cff,https://esx.et/equity-market/trading-operations/,"times as may be determined by the ESX. ESX may extend, advance, or reduce trading hours by notifying Trading Members as may be necessary. Unless otherwise specified by the Board of Directors of the ESX, the exchange shall be open for trading from 9:00 to 3:00 EAT, as follows: Session Time Price Limit Pre-open 9:00 AM – 9:30 AM – Continuous 9:30 AM – 3:00 PM – Close 3:00 PM – Date Holiday Tuesday, Jan 7, 2026 Ethiopian Christmas / Gena Monday, Jan 19, 2026 Epiphany/Timket Monday, Mar 2,",2026-07-16
scrp_e6bc32170a5737a8c34f9c577a40405c,https://esx.et/equity-market/trading-operations/,"2026 Adwa Victory Day Sunday, Mar 8, 2026 International Women’s Day Friday, Mar 20, 2026 Eid al-Fitr (Tentative Date) Friday, Apr 10, 2026 Ethiopian Good Friday Sunday, Apr 12, 2026 Ethiopian Easter/Fasika Friday, May 1, 2026 International Labor Day Tuesday, May 5, 2026 Patriots’ Victory Day Wednesday, May 27, 2026 Eid al-Adha (Tentative Date) Tuesday, Aug 25, 2026, The Prophet’s Birthday Friday, Sep 11, 2026 Ethiopian New Year Thursday, Sep 27, 2026 Meskel (Finding of the True Cross) Trading",2026-07-16
scrp_d359675dbe3472a88a468facffce169f,https://esx.et/equity-market/trading-operations/,"rules ESX Trading rules set out specific guidelines and regulations that govern trading activities of trading members. These rules are designed to ensure fairness, transparency, and the orderly functioning of the market while protecting the interests of market participants. ESX trading members are at all times require to abide by the rules as they contribute to: Orderly Trading: Rules help maintain order in the market by specifying how orders should be placed, executed, and canceled. They establish",2026-07-16
scrp_9612f44aff60582b2bfae9b1cb29f9c9,https://esx.et/equity-market/trading-operations/,"guidelines for trading hours, circuit breakers, and trading halts in case of extreme market volatility. Market Integrity: ESX trading rules are designed to maintain the integrity of the market by preventing fraudulent and manipulative activities. They establish guidelines to prevent market abuse, insider trading, and other illicit practices. Fairness: The rules promote a level playing field for all market participants, ensuring that no one has an unfair advantage. They help prevent market manipulation",2026-07-16
scrp_a4a3ecb4082cc623df657325f2b58fb7,https://esx.et/equity-market/trading-operations/,"and create an environment where investors can trade with confidence. Investor Protection: The rules provide safeguards to protect the interests of investors. They among others require trading members to have certain financial resources and risk management procedures in place to protect clients’ assets. Risk Management: The rules incorporate risk management measures to mitigate the potential for excessive market volatility or sudden market crashes. These measures include price limits, circuit breakers,",2026-07-16
scrp_91fb6d75891553f1688b47d0d934d85b,https://esx.et/equity-market/trading-operations/,"and other types of similar measures. Investor Confidence: Clear and consistently applied rules enhance investor confidence in the market. When investors believe that the market is well-regulated and follows established rules, they are more likely to participate. Standardization: Rules help standardize trading procedures and ensure that everyone follows the same set of guidelines, which simplifies trading and reduces the potential for disputes. Dispute Resolution: ESX rules provide a framework for",2026-07-16
scrp_092b9feacb8bd0f99463bb8a47a8fded,https://esx.et/equity-market/trading-operations/,resolving disputes between market participants.,2026-07-16
scrp_994c8eac0d8df8e6cd1d7ded62d091b8,https://esx.et/equity-market/overview/,"ESX Equities Market is the division of ESX that allows issuers of equity securities to raise long-term, patient, capital through the issuance of equity securities, i.e., most known form being shares. ESX provides the link between companies in need of finance and investors seeking profitable investment opportunities. This process involves the issuing, listing, and trading of securities. Companies in need of capital to start, grow and expand their business would issue their securities on the exchange,",2026-07-16
scrp_b3aa47924db4441226fec6dbbc80f135,https://esx.et/equity-market/overview/,"while investors would buy them as investment. ESX’s Equity Market Provides a regulated listing and trading venue for issuance and trading of various equity instruments that are approved and registered by the Ethiopian Capital Market Authority (ECMA). These include shares and other forms of equity instruments, real Estate Investment Funds (REIFs) / ‘REITS’, exchange traded funds (ETFs). ESX Equity Market offers issuers and investors an organized and supervised marketplace where trades are made",2026-07-16
scrp_6b9c6854d41eac920d37cf9760e8a5fc,https://esx.et/equity-market/overview/,"based on an approved set of rules and regulations. This ensures the transparency, integrity, efficiency, and reliability of the market with the aim to protect and enhance confidence by local and international investors on the Ethiopian capital markets. ESX enhances the overall liquidity of the equities market by ensuring investor risks are managed through strict listing and trading rules and procedures, and adopting state of the art trading, clearing and settlement technologies. As an intermediated",2026-07-16
scrp_64edbbbc9678d860fb2664078f8d4221,https://esx.et/equity-market/overview/,"market, whereby broker-dealers play a key role in facilitating access to the market, ESX also regulates and enforces actions on trading members.",2026-07-16
